stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,alias,stop_area,stop_desc,lest_x,lest_y,zone_name,authority
970,04709-1,Kadaka puiestee,59.38710344,24.64171124,970,,Nõmme,,6583411.81,536467.58,Harju1,Tallinna TA
971,04801-1,Raudtee,59.38311484,24.67246321,971,,Nõmme,"Nõmme suunas",6582984.61,538219.57,Harju1,Tallinna TA
972,04802-1,Raudtee,59.38302797,24.67112285,972,,Nõmme,"Männiku suunas",6582974.17,538143.49,Harju1,Tallinna TA
974,05001-1,Kivimäe jaam,59.3786998,24.65545918,974,,Nõmme,,6582483.22,537257.98,Harju1,Tallinna TA
975,05002-1,Kivimäe jaam,59.3784425,24.6544365,975,,Nõmme,,6582453.99,537200.13,Harju1,Tallinna TA
977,05004-1,Laane,59.3757795,24.64877091,977,,Nõmme,,6582154.21,536880.96,Harju1,Tallinna TA
982,05102-1,J. V. Jannseni,59.37290392,24.66433653,982,,Nõmme,"Laagri suunas",6581842.54,537768.97,Harju1,Tallinna TA
983,05103-1,Hõimu,59.37026397,24.65809672,983,,Nõmme,"Laagri suunas",6581544.96,537417.12,Harju1,Tallinna TA
986,05201-1,Hiiu,59.37659629,24.67765161,986,Hiiu,Nõmme,"Hiiu tänaval",6582261.43,538521.78,Harju1,Tallinna TA
1001,05701-1,Valdeku,59.38088078,24.70038109,1001,,Nõmme,"Vabaduse puiesteel Kesklinna suunas",6582751.98,539808.83,Harju1,Tallinna TA
990,05401-1,Nõmme,59.38745224,24.68673122,990,,Nõmme,"Pärnu maanteel Kesklinna suunas",6583476.00,539025.52,Harju1,Tallinna TA
20545,8600359-1,Luiga,57.76267074,27.09822078,20545,,Võru vald,"Uue-Saaluse suunas",6406559.99,684362.02,,Võru MV
992,05403-1,Nõmme,59.38879525,24.68334076,992,,Nõmme,"Nõmme turu ees",6583623.64,538831.33,Harju1,Tallinna TA
993,05404-1,Võsu,59.38612506,24.67753202,993,,Nõmme,,6583322.84,538504.26,Harju1,Tallinna TA
995,05406-1,Kõue,59.38695505,24.69116035,995,,Nõmme,,6583423.20,539277.78,Harju1,Tallinna TA
996,05407-1,Kõue,59.38693911,24.69004136,996,,Nõmme,,6583420.77,539214.21,Harju1,Tallinna TA
997,05501-1,Roheline,59.38638745,24.69109046,997,,Nõmme,,6583359.93,539274.46,Harju1,Tallinna TA
998,05502-1,Roheline,59.38657081,24.69230907,998,,Nõmme,,6583381.07,539343.50,Harju1,Tallinna TA
161498,7820392-1,Varsa,58.34987601,26.76803853,161498,,Tartu linn,"Kasteheina suunas",6471046.82,662027.96,,Tartu LV
150638,6701273-1,Vana-Sauga,58.3928668,24.47189918,150638,,Pärnu linn,"Saabuvad bussid",6472588.50,527596.68,,Pärnu MV
153189,8200848-1,Kitse,57.85187058,26.41866628,153189,,Tõlliste vald,,6414825.50,643586.43,,Valga MV
27325,8600361-1,Lusti,57.78593691,26.50763069,27325,,Antsla vald,"Antsla suunas",6407680.94,649139.95,,Võru MV
999,05601-1,Kaare,59.37761573,24.68669359,999,,Nõmme,,6582380.22,539034.60,Harju1,Tallinna TA
1000,05602-1,Kaare,59.37755459,24.68542272,1000,,Nõmme,,6582372.67,538962.43,Harju1,Tallinna TA
1002,05702-1,Valdeku,59.38050494,24.69867223,1002,,Nõmme,"Vabaduse puiesteel Laagri suunas",6582709.10,539712.14,Harju1,Tallinna TA
1003,05703-1,Valdeku,59.38031251,24.70013335,1003,,Nõmme,"Valdeku tänaval Männiku suunas",6582688.53,539795.41,Harju1,Tallinna TA
1004,05704-1,Nurme,59.37946768,24.69519586,1004,,Nõmme,,6582591.50,539515.75,Harju1,Tallinna TA
1005,05705-1,Nurme,59.37920907,24.6935963,1005,,Nõmme,,6582561.75,539425.13,Harju1,Tallinna TA
23260,8600365-1,Luutsniku,57.62705096,26.99889926,23260,,Rõuge vald,"Palli suunas",6391201.05,679130.93,,Võru MV
1008,05901-1,Karusmarja,59.3803869,24.71776619,1008,,Nõmme,,6582707.41,540797.53,Harju1,Tallinna TA
1009,05902-1,Karusmarja,59.37986238,24.71743657,1009,,Nõmme,,6582648.78,540779.42,Harju1,Tallinna TA
1010,05903-1,P. Kerese,59.37794033,24.71791351,1010,,Nõmme,,6582434.96,540808.82,Harju1,Tallinna TA
1011,05904-1,P. Kerese,59.37707604,24.71766457,1011,,Nõmme,,6582338.53,540795.70,Harju1,Tallinna TA
1014,06101-1,Männiku,59.36682502,24.7179824,1014,,Nõmme,,6581196.80,540825.99,Harju1,Tallinna TA
1017,06105-1,Kauge,59.37176779,24.71713623,1017,,Nõmme,,6581746.89,540771.99,Harju1,Tallinna TA
1018,06106-1,Pihlaka,59.37349963,24.71812275,1018,,Nõmme,,6581940.41,540826.01,Harju1,Tallinna TA
1019,06107-1,Pihlaka,59.37443882,24.71780682,1019,,Nõmme,,6582044.84,540806.93,Harju1,Tallinna TA
1023,06202-1,Rahumäe,59.38871106,24.70191492,1023,,Nõmme,,6583625.16,539886.88,Harju1,Tallinna TA
1024,06203-1,Kalmistu,59.39223317,24.70858714,1024,,Nõmme,,6584021.50,540261.87,Harju1,Tallinna TA
1026,06301-1,Rahumäe,59.38870426,24.70481322,1026,,Nõmme,,6583626.13,540051.58,Harju1,Tallinna TA
1027,06302-1,Rahumäe,59.38868587,24.70372087,1027,,Nõmme,,6583623.43,539989.53,Harju1,Tallinna TA
981,05101-1,J. V. Jannseni,59.37366867,24.66727737,981,,Nõmme,"Kesklinna suunas",6581929.39,537935.31,Harju1,Tallinna TA
1029,06304-1,Näituse,59.38535105,24.71099393,1029,,Nõmme,,6583256.30,540406.75,Harju1,Tallinna TA
1033,06404-1,Kirde,59.38973218,24.71098765,1033,,Nõmme,,6583744.34,540401.22,Harju1,Tallinna TA
25645,5700072-1,Juurika,58.94826124,23.62772767,25645,,Haapsalu linn,"Ametlik nimi: Võnnu tee",6534412.00,478572.75,Laane1,Lääne MV
1035,06406-1,Liiva,59.38840959,24.71944248,1035,,Nõmme,,6583602.13,540883.22,Harju1,Tallinna TA
1036,06407-1,Liiva,59.38821228,24.71804474,1036,,Nõmme,,6583579.30,540804.03,Harju1,Tallinna TA
162474,7801446-1,Pilka,58.41155825,26.8958151,162474,,Luunja vald,,6478226.25,669206.36,,Tartu MV
1038,06409-1,Liiva jaam,59.38685906,24.7177061,1038,,Nõmme,,6583428.35,540786.40,Harju1,Tallinna TA
1039,06410-1,Värava,59.38500918,24.71767434,1039,,Nõmme,,6583222.26,540786.80,Harju1,Tallinna TA
1040,06411-1,Värava,59.3843958,24.71727682,1040,,Nõmme,,6583153.69,540764.94,Harju1,Tallinna TA
1041,06601-1,Kalmu,59.37563188,24.72550337,1041,,Nõmme,,6582182.45,541243.02,Harju1,Tallinna TA
1044,06604-1,Liiva kalmistu,59.3758776,24.7338764,1044,,Nõmme,,6582215.00,541718.68,Harju1,Tallinna TA
1045,06605-1,Raku,59.37627583,24.74244279,1045,,Nõmme,,6582264.72,542205.15,Harju1,Tallinna TA
1047,06609-1,Kaarla,59.36755714,24.75650437,1047,,Nõmme,,6581302.43,543015.42,Harju1,Tallinna TA
1050,06701-1,Energia,59.3971521,24.71040995,1050,,Kristiine,,6584570.55,540359.64,Harju1,Tallinna TA
1051,06702-1,Energia,59.39664688,24.7098126,1051,,Kristiine,,6584513.91,540326.30,Harju1,Tallinna TA
1052,06703-1,Tuisu,59.40025249,24.71096745,1052,,Kristiine,,6584916.26,540387.65,Harju1,Tallinna TA
1053,06801-1,Järve,59.4000154,24.72813431,1053,Järve,Kristiine,,6584900.31,541363.09,Harju1,Tallinna TA
1054,06802-1,Virve,59.39768767,24.72596025,1054,,Kristiine,,6584639.67,541242.40,Harju1,Tallinna TA
1056,06902-1,Koolimaja,59.41840339,24.72176867,1056,,Kristiine,,6586944.78,540979.45,Harju1,Tallinna TA
1057,06903-1,Hauka,59.421741,24.72465673,1057,,Kristiine,,6587318.35,541139.40,Harju1,Tallinna TA
1058,06904-1,Kotka,59.42119209,24.7296409,1058,,Kristiine,,6587260.27,541423.01,Harju1,Tallinna TA
1059,06905-1,Kotka,59.4203102,24.72980315,1059,,Kristiine,,6587162.13,541433.29,Harju1,Tallinna TA
1060,07001-1,Nõmme tee,59.41164963,24.7157445,1060,,Kristiine,,6586188.76,540645.46,Harju1,Tallinna TA
1061,07002-1,Räägu,59.41500286,24.71873915,1061,,Kristiine,,6586564.12,540811.51,Harju1,Tallinna TA
1062,07101-1,Västriku,59.40902768,24.72502315,1062,,Kristiine,,6585902.34,541175.51,Harju1,Tallinna TA
1063,07102-1,Tondi,59.41050467,24.73147351,1063,Tondi,Kristiine,,6586070.85,541540.03,Harju1,Tallinna TA
1064,07103-1,Tondi,59.41103423,24.73226161,1064,Tondi,Kristiine,,6586130.33,541584.14,Harju1,Tallinna TA
1065,07104-1,Ööbiku,59.41462978,24.73247916,1065,,Kristiine,,6586531.00,541592.12,Harju1,Tallinna TA
